date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-05 13:49:45,FauciFan,,3,7,51,"If you’re not standing up for what you believe in... you’re sitting down. If you haven’t yet, time to take a stand. Donate, volunteer, call out racism, protest. We all have a stake in this. #BlackLivesMatter #JusticeForGeorgeFloyd #RacismIsAPublicHealthCrisis",,,#BlackLivesMatter #BlackLivesMatter #JusticeForGeorgeFloyd #RacismIsAPublicHealthCrisis,1268902835401502721,https://twitter.com/FauciFan/status/1268902835401502721
2020-06-04 00:14:13,FauciFan,EdwardRoche12,0,0,5,"Mr. Ed I totally appreciate your support, but we have to acknowledge this all has been an issue prior to Obama, during his presidency, and now after. No single president is going to save us, we the people must act to defend our fellow (wo)man from the countless years of injustice",,,,1268335212368474112,https://twitter.com/FauciFan/status/1268335212368474112
2020-06-03 23:20:18,FauciFan,GuidoRadig,1,0,0," ",,,,1268321640724729863,https://twitter.com/FauciFan/status/1268321640724729863
2020-06-03 23:09:32,FauciFan,GuidoRadig,1,0,2,"kein problem!",,,,1268318932408111104,https://twitter.com/FauciFan/status/1268318932408111104
2020-06-03 22:49:26,FauciFan,,5,13,74,"It does not matter what side of the political aisle you’re on. You should care about this issue. America was built on stolen land, on the backs on Black slaves. The systematic oppression of these groups must end; the militarized police state in America MUST END.",,,,1268313874496811008,https://twitter.com/FauciFan/status/1268313874496811008
2020-06-03 22:44:17,FauciFan,,16,41,293,"if you follow this account, I assume you care about public health (and stan Fauci!). I can’t speak for Fauci, but I can tell you for a fact that police violence and racism are PUBLIC HEALTH ISSUES. This should be just as important to us as COVID, as vaccines, as anything else",,,,1268312579279118338,https://twitter.com/FauciFan/status/1268312579279118338
2020-06-03 22:34:35,FauciFan,GuidoRadig,1,0,3,"Ah yes, a photo taken presumably 30 minutes before cops started tear-gassing peaceful protesters. #copaganda",,,#copaganda,1268310136046718976,https://twitter.com/FauciFan/status/1268310136046718976
2020-06-03 22:33:43,FauciFan,,1,3,20,"the revolution will not be televised #BlackLivesMatter #NoJusticeNoPeace",,,#BlackLivesMatter #BlackLivesMatter #NoJusticeNoPeace,1268309917456310275,https://twitter.com/FauciFan/status/1268309917456310275
2020-06-03 22:27:34,FauciFan,openied2,0,0,0,"Facebook is your source? I’m laughing out loud. ignorant fools brainwashed by right wing propaganda. I feel bad for anyone who knows you in real life",,,,1268308373226782721,https://twitter.com/FauciFan/status/1268308373226782721
2020-06-03 14:40:48,FauciFan,,1,4,84,"this account is primarily for Fauci stanning, however we have been quiet lately because there are other much more pressing issues going on right now. Racism is a threat to public health and society. Stand up for your fellow Americans & humans. #BlackLivesMattter #NoJusticeNoPeace",,,#BlackLivesMattter #NoJusticeNoPeace,1268190906282381312,https://twitter.com/FauciFan/status/1268190906282381312
